model,target,cv_r2_mean,cv_r2_std,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,train_r2_mean,fit_seconds,n_rows,n_features_before_encoding,n_numeric_features,n_categorical_features
extra_trees,log_owners_midpoint,0.6575091491182341,0.021633044966580885,0.36143637549016067,0.031080469383223838,0.4632824031802712,0.050677505288586784,0.9566882215093038,5.55192569999781,841,104,100,4
random_forest,log_owners_midpoint,0.6478426045047906,0.02224639147394202,0.36196151645425645,0.023659790314598694,0.4692986353834838,0.04624706828445096,0.9028777901782364,4.345377899997402,841,104,100,4
gradient_boosting,log_owners_midpoint,0.645452454208127,0.017139893647914475,0.3678738535589138,0.02742804227713809,0.4710265071510248,0.0458018212956654,0.8637701210611235,17.042586600000504,841,104,100,4
bagging_cart,log_owners_midpoint,0.639622743717219,0.024923148808028664,0.36493274480778004,0.025500391539044452,0.47449652054230385,0.044954132953958385,0.8591423004896818,8.532017900011851,841,104,100,4
hist_gradient_boosting,log_owners_midpoint,0.6264086884047799,0.031577267274212686,0.36603959321975854,0.01732350709821693,0.48190219410005863,0.03267266695928567,0.9808861287247131,82.23589280000306,841,104,100,4
cubic_splines_ridge,log_owners_midpoint,0.570379332131348,0.04800777252895243,0.4238904536089563,0.03545524126445909,0.5171684777897844,0.05041509418637228,0.6295171949387449,0.8189740999951027,841,104,100,4
log_features_ridge,log_owners_midpoint,0.5417693989627711,0.051926215227280026,0.43767334097874677,0.03233852808282004,0.5337774313933691,0.048658987343394244,0.6809456444870079,0.9891953999904217,841,104,100,4
forward_stepwise_ridge_25,log_owners_midpoint,0.5161975541104016,0.05143958820226266,0.4406795570389609,0.042379320060089265,0.5505698439709169,0.06867728267576342,0.589623829597137,86.78224319999572,841,104,100,4
select_k_best_30_ridge,log_owners_midpoint,0.513389473152511,0.06228655227054675,0.44103097843466366,0.045192231482246735,0.5517016933871298,0.06943482724453516,0.5837483004449988,0.39706000000296626,841,104,100,4
step_functions_ridge,log_owners_midpoint,0.4947558772643621,0.054598267443825885,0.4469795628966679,0.024617821343896684,0.5594950897371667,0.032938194170419814,0.5873855034712658,0.5396960999933071,841,104,100,4
backward_stepwise_ridge_25,log_owners_midpoint,0.49650203812082194,0.08243789989536102,0.4443794624438652,0.045451900342217175,0.5603747652071327,0.07433690666402624,0.5955571212660657,101.48847179999575,841,104,100,4
select_k_best_60_ridge,log_owners_midpoint,0.4927067046848184,0.08201303649513329,0.44743399697389385,0.04731894721009748,0.5626731261928054,0.07549115850537126,0.6092284557276519,0.36079640001116786,841,104,100,4
svr_rbf,log_owners_midpoint,0.47757770143187495,0.020044030079088844,0.43796782553716546,0.03693109092790282,0.5724720738608224,0.05992683804601776,0.9909074850906375,3.314790599994012,841,104,100,4
cart_decision_tree,log_owners_midpoint,0.45433719716068116,0.07227238572025191,0.4220874089079459,0.018041626487680006,0.5804175463274504,0.029056957597137858,0.8236204657558597,0.5592769000068074,841,104,100,4
lasso,log_owners_midpoint,0.44859719215636085,0.06484092901578999,0.45672627811441313,0.040495106235599876,0.5869641774599166,0.06751634111819908,0.737979578446453,5.6184140000113985,841,104,100,4
ridge,log_owners_midpoint,0.4403656988098229,0.06388158487203545,0.4584201239816331,0.04449962208218321,0.5911150016498217,0.06560246298861395,0.7577995957166366,1.0882580000034068,841,104,100,4
adaboost_stumps,log_owners_midpoint,0.4309436192700611,0.06342411900336818,0.4615531885044174,0.029951474818198317,0.5935897263293493,0.03499888827755099,0.46897965104603456,16.636707800003933,841,104,100,4
elastic_net,log_owners_midpoint,0.4061225747881897,0.06498228653640847,0.46962221907947954,0.04423369957193697,0.6086984618515341,0.06435452755529786,0.83762644343638,10.624833800000488,841,104,100,4
