component,explained_variance_ratio,cumulative_explained_variance
PC1,0.0926427006932802,0.0926427006932802
PC2,0.06290742560876622,0.15555012630204643
PC3,0.058480211876777044,0.21403033817882347
PC4,0.04681485907100882,0.2608451972498323
PC5,0.03990019502575299,0.3007453922755853
PC6,0.03802372549367026,0.33876911776925556
PC7,0.03611033185287202,0.3748794496221276
PC8,0.03228562398138308,0.4071650736035107
PC9,0.027338162779245383,0.43450323638275606
PC10,0.025429613937797593,0.45993285032055364
PC11,0.022315176507476317,0.48224802682803
PC12,0.02088408960826848,0.5031321164362984
PC13,0.01954680952981764,0.5226789259661161
PC14,0.018363175700221824,0.5410421016663379
PC15,0.01800255280748754,0.5590446544738255
PC16,0.01626893173251832,0.5753135862063438
PC17,0.01565041735314435,0.5909640035594881
PC18,0.01541010768282033,0.6063741112423084
PC19,0.014751018129860547,0.621125129372169
PC20,0.014035668937925894,0.6351607983100949
PC21,0.013725950411670396,0.6488867487217652
PC22,0.012878975448332641,0.6617657241700978
PC23,0.012162305863164942,0.6739280300332627
PC24,0.012120874298978793,0.6860489043322415
PC25,0.011358731416782869,0.6974076357490244
PC26,0.011161513535643375,0.7085691492846677
PC27,0.010836941897286992,0.7194060911819548
PC28,0.010548714192963429,0.7299548053749182
PC29,0.010275093163383696,0.7402298985383019
PC30,0.010163010545166305,0.7503929090834682
PC31,0.00971880369363208,0.7601117127771003
PC32,0.009570614130570067,0.7696823269076704
PC33,0.009198431126453277,0.7788807580341236
PC34,0.00883495234658672,0.7877157103807103
PC35,0.00835163821110531,0.7960673485918156
PC36,0.008209550123507842,0.8042768987153235
PC37,0.00801047588601622,0.8122873746013397
PC38,0.007948743539785691,0.8202361181411254
PC39,0.00759808222187822,0.8278342003630036
PC40,0.007189281551051609,0.8350234819140552
PC41,0.006908907584219458,0.8419323894982746
PC42,0.006575418351786872,0.8485078078500615
PC43,0.006444782902914469,0.854952590752976
PC44,0.006341067862049947,0.8612936586150259
PC45,0.006102734590293255,0.8673963932053191
PC46,0.00599869641347031,0.8733950896187894
PC47,0.00573279424270577,0.8791278838614952
PC48,0.005716004808695433,0.8848438886701906
PC49,0.005340907854362578,0.8901847965245532
PC50,0.005240858007403953,0.8954256545319571
PC51,0.005044372948918679,0.9004700274808758
PC52,0.004956849520265694,0.9054268770011414
PC53,0.004805536906562912,0.9102324139077044
PC54,0.004587632356100942,0.9148200462638053
PC55,0.004417245662460125,0.9192372919262655
PC56,0.004215466465435404,0.9234527583917008
PC57,0.004125758983207655,0.9275785173749085
PC58,0.004053669403610516,0.931632186778519
PC59,0.003755915818865398,0.9353881025973844
PC60,0.0036190541186408125,0.9390071567160252
PC61,0.003354678623410301,0.9423618353394355
PC62,0.003276251027580369,0.9456380863670159
PC63,0.0031450926147073327,0.9487831789817232
PC64,0.0029854769261459593,0.9517686559078691
PC65,0.0028675133731810945,0.9546361692810502
PC66,0.002630715286091792,0.957266884567142
PC67,0.0025693129766186165,0.9598361975437607
PC68,0.002524392951084396,0.9623605904948451
PC69,0.0024110692372803144,0.9647716597321254
PC70,0.0020574619112098155,0.9668291216433352
PC71,0.0017846660644355219,0.9686137877077707
PC72,0.0016029095238097567,0.9702166972315804
PC73,0.0014488698672005464,0.9716655670987809
PC74,0.001395382640861781,0.9730609497396427
PC75,0.0013527752225185544,0.9744137249621613
PC76,0.001254171574013065,0.9756678965361744
PC77,0.0012134953951748997,0.9768813919313493
PC78,0.001098677393022096,0.9779800693243713
PC79,0.0009872501519258266,0.9789673194762971
PC80,0.000886558535117891,0.979853878011415
PC81,0.0005284575247866783,0.9803823355362017
PC82,0.0005134923346751341,0.9808958278708768
PC83,0.00045830833615290016,0.9813541362070297
PC84,0.00041298925218042747,0.9817671254592102
PC85,0.00038342825573944866,0.9821505537149496
PC86,0.0003620213660603133,0.98251257508101
PC87,0.00034456478494083293,0.9828571398659508
PC88,0.00033059475230632734,0.9831877346182571
PC89,0.00031117218312956964,0.9834989068013867
PC90,0.00030933279682426824,0.983808239598211
PC91,0.00028554874309779895,0.9840937883413088
PC92,0.00027276894088669267,0.9843665572821955
PC93,0.00026249994118263386,0.9846290572233781
PC94,0.00023611404352192085,0.9848651712669001
PC95,0.0002202521552439743,0.9850854234221441
PC96,0.0002035555338959347,0.9852889789560401
PC97,0.00020119726807123748,0.9854901762241113
PC98,0.0001940137548164196,0.9856841899789277
PC99,0.00017781332945553786,0.9858620033083833
PC100,0.00016929877546824527,0.9860313020838515
PC101,0.0001601421199284393,0.9861914442037799
PC102,0.00015035937361771974,0.9863418035773976
PC103,0.00013931076797172193,0.9864811143453693
PC104,0.00013507787343776577,0.9866161922188071
PC105,0.0001286596266386176,0.9867448518454458
PC106,0.0001273910888555998,0.9868722429343014
PC107,0.00011763258139903277,0.9869898755157005
PC108,0.00010285896118164701,0.9870927344768822
PC109,9.971884044512088e-05,0.9871924533173273
PC110,9.872231633178941e-05,0.9872911756336591
PC111,9.711200948414292e-05,0.9873882876431432
PC112,9.439711571886355e-05,0.9874826847588621
PC113,9.365992182233326e-05,0.9875763446806844
PC114,9.211544228852466e-05,0.9876684601229729
PC115,9.168602887376146e-05,0.9877601461518467
PC116,8.897208319664527e-05,0.9878491182350434
PC117,8.775112155587799e-05,0.9879368693565993
PC118,8.69305908409454e-05,0.9880237999474403
PC119,8.480250382871538e-05,0.988108602451269
PC120,8.338758498403165e-05,0.988191990036253
PC121,8.279150608253527e-05,0.9882747815423355
PC122,8.16084086208069e-05,0.9883563899509563
PC123,7.913323054403261e-05,0.9884355231815003
PC124,7.776402903366985e-05,0.988513287210534
PC125,7.571331964775495e-05,0.9885890005301817
PC126,7.511375432199678e-05,0.9886641142845037
PC127,7.394509802314697e-05,0.9887380593825269
PC128,7.270036776026127e-05,0.9888107597502872
PC129,7.187613924683809e-05,0.9888826358895341
PC130,7.093479851679829e-05,0.9889535706880509
PC131,7.007091976028573e-05,0.9890236416078112
PC132,6.912590006024494e-05,0.9890927675078715
PC133,6.849781679081951e-05,0.9891612653246623
PC134,6.776892320730586e-05,0.9892290342478696
PC135,6.723188991417029e-05,0.9892962661377838
PC136,6.575540630495811e-05,0.9893620215440887
PC137,6.517769326042281e-05,0.9894271992373491
PC138,6.37008210202741e-05,0.9894909000583694
PC139,6.270770362927919e-05,0.9895536077619986
PC140,6.217064477458258e-05,0.9896157784067732
PC141,6.055122549928394e-05,0.9896763296322725
PC142,6.021018667101935e-05,0.9897365398189435
PC143,5.909732083773896e-05,0.9897956371397812
PC144,5.861689132712752e-05,0.9898542540311084
PC145,5.857197618676483e-05,0.9899128260072951
PC146,5.716213882805033e-05,0.9899699881461231
